d_beg, d_end, Y, x, y
100, 100, 0.1455, 0.2769, 0.2267
0, 3, 104.2, 0.2891, 0.2876
2, 5, 1.898, 0.2809, 0.2716
4, 7, 0.8414, 0.2835, 0.2651
6, 9, 0.6181, 0.284, 0.2655
8, 11, 0.4789, 0.2874, 0.2708
10, 13, 0.5416, 0.2919, 0.2807
12, 15, 0.706, 0.2902, 0.2787
14, 17, 0.8215, 0.2813, 0.2697
16, 19, 0.7936, 0.2771, 0.266
18, 21, 0.6804, 0.2802, 0.27
20, 23, 0.528, 0.2859, 0.2717
22, 25, 0.4136, 0.2842, 0.2622
24, 27, 0.3821, 0.2785, 0.2555
26, 29, 0.3904, 0.2808, 0.2621
28, 31, 0.3646, 0.2871, 0.2696
30, 33, 0.2954, 0.2867, 0.2603
32, 35, 0.2552, 0.2855, 0.2529
34, 37, 0.2257, 0.279, 0.2461
36, 39, 0.2104, 0.2769, 0.2448
38, 41, 0.2038, 0.2822, 0.2478
40, 43, 0.1858, 0.2783, 0.2397
42, 45, 0.1782, 0.2776, 0.2365
44, 47, 0.1705, 0.2763, 0.2369
46, 49, 0.1559, 0.2761, 0.2316
48, 51, 0.147, 0.2777, 0.2295
0, 5, 104.7, 0.2886, 0.2872
2, 7, 2.31, 0.2809, 0.2717
4, 9, 1.128, 0.284, 0.269
6, 11, 0.829, 0.2864, 0.273
8, 13, 0.7866, 0.2911, 0.2823
10, 15, 0.9659, 0.2901, 0.2837
12, 17, 1.158, 0.2853, 0.277
14, 19, 1.222, 0.2801, 0.272
16, 21, 1.117, 0.2791, 0.272
18, 23, 0.8947, 0.2831, 0.2744
20, 25, 0.6846, 0.2847, 0.2727
22, 27, 0.5679, 0.2817, 0.2666
24, 29, 0.5551, 0.2808, 0.2676
26, 31, 0.5283, 0.2853, 0.2731
28, 33, 0.4623, 0.29, 0.2767
30, 35, 0.3725, 0.2884, 0.2699
32, 37, 0.3073, 0.2825, 0.2576
34, 39, 0.2759, 0.2807, 0.2568
36, 41, 0.2494, 0.2804, 0.2523
38, 43, 0.2295, 0.2798, 0.2488
40, 45, 0.2107, 0.2783, 0.2478
42, 47, 0.1988, 0.2755, 0.2419
44, 49, 0.1802, 0.2784, 0.2402
46, 51, 0.1566, 0.2734, 0.2333
48, 53, 0.1383, 0.2749, 0.223
